Feature,Importance
Kozamernik Jan_ricezione_negativa,0.0
Kozamernik Jan_ricezione_perfetta,0.0
Kozamernik Jan_ricezione_perfetta_perc,0.0
Kozamernik Jan_ricezione_efficienza,0.0
Kozamernik Jan_attacco_totale,0.0
Kozamernik Jan_errori_attacco,0.0
Kozamernik Jan_attacco_murati,0.0
Kozamernik Jan_attacco_perfetti_perc,0.0
Laurenzano Gabriele_ace_per_set,0.0
Kozamernik Jan_attacco_efficienza,0.0
Kozamernik Jan_muro_perfetti,0.0
Kozamernik Jan_muro_per_set,0.0
Laurenzano Gabriele_set_giocati,0.0
Laurenzano Gabriele_punti_totali,0.0
Laurenzano Gabriele_punti_bp,0.0
Laurenzano Gabriele_battuta_totale,0.0
Laurenzano Gabriele_ace,0.0
Laurenzano Gabriele_errori_battuta,0.0
Sbertoli Riccardo_muro_per_set,0.0
